( color, yellow )
( size, sm )
( tool, pen )
( drag,{ x: 80, y: 182.54166 } )
( drag,{ x: 80, y: 202.54166 } )
( drag,{ x: 68, y: 398.54166 } )
( drag,{ x: 60, y: 484.54166 } )
( drag,{ x: 58, y: 514.54166 } )
( drag,{ x: 64, y: 430.54166 } )
( drag,{ x: 96, y: 260.54166 } )
( drag,{ x: 104, y: 208.54166 } )
( drag,{ x: 104, y: 201.54166 } )
( drag,{ x: 106, y: 228.54166 } )
( drag,{ x: 107, y: 394.54166 } )
( drag,{ x: 107, y: 449.54166 } )
( drag,{ x: 106, y: 456.54166 } )
( drag,{ x: 103, y: 254.54166 } )
( drag,{ x: 108, y: 86.54166 } )
( drag,{ x: 108, y: 61.54166 } )
( drag,{ x: 108, y: 141.54166 } )
( drag,{ x: 106, y: 252.54166 } )
( drag,{ x: 106, y: 381.54166 } )
( drag,{ x: 106, y: 406.54166 } )
( drag,{ x: 103, y: 370.54166 } )
( drag,{ x: 103, y: 216.54166 } )
( drag,{ x: 103, y: 176.54166 } )
( drag,{ x: 100, y: 181.54166 } )
( drag,{ x: 79, y: 330.54166 } )
( drag,{ x: 68, y: 420.54166 } )
( drag,{ x: 67, y: 472.54166 } )
( drag,{ x: 67, y: 466.54166 } )
( drag,{ x: 75, y: 305.54166 } )
( up, { x: 75, y: 305.54166 } )
( down,{ x: 78, y: 253.54166 } )
( drag,{ x: 78, y: 254.54166 } )
( drag,{ x: 78, y: 274.54166 } )
( drag,{ x: 78, y: 277.54166 } )
( drag,{ x: 78, y: 314.54166 } )
( drag,{ x: 78, y: 368.54166 } )
( drag,{ x: 80, y: 376.54166 } )
( up, { x: 80, y: 376.54166 } )
( down,{ x: 82, y: 309.54166 } )
( drag,{ x: 82, y: 316.54166 } )
( drag,{ x: 82, y: 336.54166 } )
( drag,{ x: 82, y: 353.54166 } )
( drag,{ x: 82, y: 358.54166 } )
( drag,{ x: 82, y: 337.54166 } )
( drag,{ x: 82, y: 281.54166 } )
( drag,{ x: 87, y: 228.54166 } )
( drag,{ x: 90, y: 218.54166 } )
( drag,{ x: 99, y: 233.54166 } )
( drag,{ x: 112, y: 309.54166 } )
( drag,{ x: 112, y: 378.54166 } )
( drag,{ x: 112, y: 437.54166 } )
( drag,{ x: 110, y: 444.54166 } )
( drag,{ x: 104, y: 425.54166 } )
( drag,{ x: 98, y: 334.54166 } )
( drag,{ x: 90, y: 290.54166 } )
( drag,{ x: 90, y: 293.54166 } )
( drag,{ x: 92, y: 376.54166 } )
